Poll	Start	End	Trump	Carson	Rubio	Cruz	Bush	Fiorina	Huckabee	Christie	Kasich	Paul	Graham	Pataki	Santorum	Jindal	Spread
RCP Average	11/15	11/19	27.5	19.8	12.5	11.3	5.5	3.5	3.3	3	2.8	2.5	0.8	0.8	0.5	0.0	Trump +7.7
FOX NewsFOX News	11/16	11/19	28	18	14	14	5	3	3	3	2	2	0	1	0	--	Trump +10
ABC/Wash PostABC/WP	11/16	11/19	32	22	11	8	6	4	3	2	3	3	1	0	1	0	Trump +10
PPP (D)PPP (D)	11/16	11/17	26	19	13	14	5	4	4	3	3	2	1	1	0	0	Trump +7
BloombergBloomberg	11/15	11/17	24	20	12	9	6	3	3	4	3	3	1	1	1	--	Trump +4
FOX NewsFOX News	11/1	11/3	26	23	11	11	4	3	4	2	4	4	0	0	0	0	Trump +3
McClatchy/MaristMcClatchy	10/29	11/4	23	24	12	8	8	3	3	2	4	5	0	1	1	1	Carson +1
QuinnipiacQuinnipiac	10/29	11/2	24	23	14	13	4	3	1	3	3	2	0	0	1	0	Trump +1
NBC/WSJNBC/WSJ	10/25	10/29	23	29	11	10	8	3	3	3	3	2	--	--	--	--	Carson +6
IBD/TIPPIBD/TIPP	10/24	10/29	28	23	11	6	6	3	1	1	1	2	0	0	1	2	Trump +5
CBS/NY TimesCBS/NYT	10/21	10/25	22	26	8	4	7	7	4	1	4	4	2	0	1	0	Carson +4
NBC/WSJNBC/WSJ	10/15	10/18	25	22	13	9	8	7	3	1	3	2	0	0	0	0	Trump +3
MonmouthMonmouth	10/15	10/18	28	18	6	10	5	6	4	3	1	4	1	0	0	1	Trump +10
ABC/Wash PostABC/WP	10/15	10/18	32	22	10	6	7	5	3	3	2	2	1	1	0	0	Trump +10
CNN/ORCCNN/ORC	10/14	10/17	27	22	8	4	8	4	5	4	3	5	1	0	2	0	Trump +5
FOX NewsFOX News	10/10	10/12	24	23	9	10	8	5	5	1	1	3	0	1	0	1	Trump +1
CBS NewsCBS News	10/4	10/8	27	21	8	9	6	6	2	3	2	4	0	0	1	0	Trump +6
PPP (D)PPP (D)	10/1	10/4	27	17	13	7	10	6	4	2	4	2	1	1	2	1	Trump +10
IBD/TIPPIBD/TIPP	9/26	10/1	17	24	11	6	8	9	2	2	4	3	0	0	0	1	Carson +7
USAT/SuffolkUSA Today	9/24	9/28	23	13	9	6	8	13	2	1	2	2	1	0	0	1	Trump +10
Pew Research*Pew*	9/22	9/27	25	16	8	6	4	8	2	1	1	2	1	0	0	0	Trump +9
NBC/WSJNBC/WSJ	9/20	9/24	21	20	11	5	7	11	2	3	6	3	0	0	1	1	Trump +1
FOX NewsFOX News	9/20	9/22	26	18	9	8	7	9	3	5	4	2	0	1	0	0	Trump +8
BloombergBloomberg	9/18	9/21	21	16	8	5	13	11	3	4	4	2	0	0	1	1	Trump +5
QuinnipiacQuinnipiac	9/17	9/21	25	17	9	7	10	12	2	2	2	1	0	1	0	0	Trump +8
CNN/ORCCNN/ORC	9/17	9/19	24	14	11	6	9	15	6	3	2	4	0	0	1	0	Trump +9
CBS/NY TimesCBS/NYT	9/9	9/13	27	23	6	5	6	4	6	1	3	3	0	0	1	0	Trump +4
ABC/Wash PostABC/WP	9/7	9/10	33	20	7	7	8	2	3	1	3	5	0	0	1	1	Trump +13
CNN/ORCCNN/ORC	9/4	9/8	32	19	3	7	9	3	5	2	2	3	1	0	1	1	Trump +13
MonmouthMonmouth	8/31	9/2	30	18	5	8	8	4	4	2	2	2	0	0	0	0	Trump +12
PPP (D)PPP (D)	8/28	8/30	29	15	7	6	9	8	5	2	6	1	0	0	2	0	Trump +14
QuinnipiacQuinnipiac	8/20	8/25	28	12	7	7	7	5	3	4	5	2	0	0	1	0	Trump +16
CNN/ORCCNN/ORC	8/13	8/16	24	9	8	5	13	5	4	3	5	6	0	0	1	0	Trump +11
FOX NewsFOX News	8/11	8/13	25	12	4	10	9	5	6	3	4	3	0	1	1	1	Trump +13
RasmussenRasmussen	8/9	8/10	17	8	10	7	10	9	3	4	4	4	1	0	1	1	Trump +7
FOX NewsFOX News	7/30	8/2	26	7	5	6	15	2	6	3	3	5	0	0	2	1	Trump +11
MonmouthMonmouth	7/30	8/2	26	5	4	6	12	2	6	4	3	4	1	0	1	1	Trump +14
BloombergBloomberg	7/30	8/2	21	5	6	4	10	1	7	4	4	5	1	0	2	1	Trump +11
CBS NewsCBS News	7/29	8/2	24	6	6	6	13	0	8	3	1	4	0	1	1	2	Trump +11
NBC/WSJNBC/WSJ	7/26	7/30	19	10	5	9	14	0	6	3	3	6	0	0	1	1	Trump +4
QuinnipiacQuinnipiac	7/23	7/28	20	6	6	5	10	1	6	3	5	6	1	1	1	2	Trump +7
RasmussenRasmussen	7/26	7/27	26	5	5	7	10	1	7	2	5	3	1	1	2	2	Trump +12
CNN/ORCCNN/ORC	7/22	7/25	18	4	6	7	15	1	5	4	4	6	1	1	2	2	Trump +3
PPP (D)PPP (D)	7/20	7/21	19	10	10	4	12	4	8	3	3	4	0	0	1	1	Trump +2
ABC/Wash PostABC/WP	7/16	7/19	24	6	7	4	12	0	8	3	2	6	0	1	1	2	Trump +11
FOX NewsFOX News	7/13	7/15	18	6	7	4	14	1	4	3	2	8	0	0	2	0	Trump +3
USAT/SuffolkUSA Today	7/9	7/12	17	4	5	6	14	1	4	3	1	4	0	0	1	1	Trump +3
MonmouthMonmouth	7/9	7/12	13	6	6	9	15	1	7	2	1	6	0	0	2	2	Bush +2
CNN/ORCCNN/ORC	6/26	6/28	12	7	6	3	19	1	8	3	2	7	1	0	3	2	Bush +7
FOX NewsFOX News	6/21	6/23	11	10	8	4	15	3	6	2	2	9	1	1	3	2	Bush +4
NBC/WSJNBC/WSJ	6/14	6/18	1	11	14	4	22	2	9	4	1	7	1	0	0	0	Bush +5
MonmouthMonmouth	6/11	6/14	2	11	9	5	9	2	8	4	1	6	2	0	3	1	Carson +1
FOX NewsFOX News	5/31	6/2	4	11	7	8	12	2	6	5	2	9	2	2	2	1	Tie
CNN/ORCCNN/ORC	5/29	5/31	3	7	14	8	13	1	10	4	1	8	1	3	2	1	Rubio +1
ABC/Wash PostABC/WP	5/28	5/31	4	8	10	8	10	2	9	6	3	11	1	1	4	1	Tie
QuinnipiacQuinnipiac	5/19	5/26	5	10	10	6	10	2	10	4	2	7	1	0	0	1	Tie
FOX NewsFOX News	5/9	5/12	4	13	9	6	13	1	10	6	2	7	0	0	2	1	Tie
PPP (D)PPP (D)	5/7	5/10	--	12	13	10	11	--	12	5	--	9	--	--	--	--	Walker +5
NBC/WSJNBC/WSJ	4/26	4/30	--	7	18	11	23	1	5	5	--	11	--	--	--	--	Bush +5
FOX NewsFOX News	4/19	4/21	5	6	13	8	9	0	9	6	2	10	1	1	1	1	Rubio +1
QuinnipiacQuinnipiac	4/16	4/21	--	3	15	9	13	1	7	7	2	8	2	--	2	1	Rubio +2
CNN/ORCCNN/ORC	4/16	4/19	--	4	11	7	17	2	9	4	2	11	2	0	3	2	Bush +5
FOX NewsFOX News	3/29	3/31	3	11	8	10	12	1	10	4	1	9	0	1	2	2	Walker +3
ABC/Wash PostABC/WP	3/26	3/29	--	6	8	12	21	1	8	7	1	8	1	--	2	1	Bush +8
PPP (D)PPP (D)	3/26	3/31	--	10	6	16	17	--	6	4	--	10	--	--	--	--	Walker +3
CNN/ORCCNN/ORC	3/13	3/15	--	9	7	4	16	0	10	7	2	12	1	--	1	1	Bush +3
McClatchy/MaristMcClatchy	3/1	3/4	--	9	5	4	19	2	10	6	--	7	1	--	2	--	Bush +1
QuinnipiacQuinnipiac	2/26	3/2	--	7	5	6	16	--	8	8	1	6	1	--	2	2	Walker +2
PPP (D)PPP (D)	2/20	2/22	--	18	3	5	17	--	10	5	--	4	--	--	--	--	Walker +7
CNN/ORCCNN/ORC	2/12	2/15	--	9	6	3	12	1	17	7	2	11	1	--	2	1	Huckabee +5
FOX NewsFOX News	1/25	1/27	--	10	5	4	15	--	13	6	2	13	1	--	2	3	Bush +2
CNN/ORCCNN/ORC	12/18	12/21	--	7	5	4	23	--	6	13	3	6	--	--	2	4	Bush +10
ABC/Wash PostABC/WP	12/11	12/14	--	8	7	8	14	--	7	7	2	10	--	--	3	3	Bush +4
McClatchy/MaristMcClatchy	12/3	12/9	--	8	3	5	16	1	12	10	3	6	--	--	3	1	Bush +4
CNN/ORCCNN/ORC	11/21	11/23	--	11	3	7	14	--	10	9	3	8	--	--	2	1	Bush +3
QuinnipiacQuinnipiac	11/18	11/23	--	9	3	5	14	--	7	11	2	8	--	--	2	3	Bush +3
RasmussenRasmussen	11/20	11/21	--	--	--	--	18	--	--	15	--	13	--	--	--	--	Walker +2
ABC/Wash PostABC/WP	10/9	10/12	--	7	8	4	13	--	12	8	2	12	--	--	4	2	Bush +1
McClatchy/MaristMcClatchy	9/24	9/29	--	--	6	4	15	--	--	12	--	13	--	--	3	4	Bush +2
McClatchy/MaristMcClatchy	8/4	8/4	--	--	9	10	13	--	--	13	--	7	--	--	3	2	Tie
FOX NewsFOX News	7/20	7/22	--	--	9	9	12	--	--	10	2	11	--	--	3	4	Tie
CNN/ORCCNN/ORC	7/18	7/20	--	--	6	8	8	--	12	13	--	12	--	--	3	--	Christie +1
QuinnipiacQuinnipiac	6/24	6/30	--	--	6	8	10	--	10	10	2	11	--	--	2	1	Paul +1
CNN/ORCCNN/ORC	5/29	6/1	--	--	8	9	12	--	11	8	--	14	--	--	4	--	Paul +2
CNN/ORCCNN/ORC	5/2	5/4	--	--	6	7	13	--	10	9	--	13	--	--	2	--	Tie
ABC/Wash PostABC/WP	4/24	4/27	--	--	6	7	12	--	14	9	1	15	--	--	--	2	Paul +1
FOX NewsFOX News	4/13	4/15	--	--	8	7	14	--	--	15	--	14	--	--	5	2	Christie +1
McClatchy/MaristMcClatchy	4/7	4/10	--	--	7	4	13	--	13	12	0	12	--	--	3	4	Tie
Reason-RupeReason	3/26	3/30	--	--	6	6	11	--	15	10	--	11	--	--	--	1	Huckabee +4
WPA (R)WPA (R)	3/18	3/20	--	--	6	9	11	--	13	9	--	13	--	--	3	3	Tie
CNN/ORCCNN/ORC	3/7	3/9	--	--	5	8	9	--	10	8	--	16	--	--	3	--	Paul +5
PPP (D)PPP (D)	3/6	3/9	--	--	6	11	15	--	18	14	--	14	--	--	--	4	Huckabee +3
McClatchy/MaristMcClatchy	2/4	2/9	--	--	12	5	8	--	13	13	1	9	--	--	2	--	Tie
CNN/ORCCNN/ORC	1/31	2/2	--	--	10	10	9	--	16	12	--	14	--	--	5	--	Huckabee +2
PPP (D)PPP (D)	1/23	1/26	--	--	8	8	14	--	16	13	--	11	--	--	--	5	Huckabee +2
ABC/Wash PostABC/WP	1/20	1/23	--	--	10	12	18	--	--	14	--	11	--	--	--	--	Bush +4
QuinnipiacQuinnipiac	1/15	1/19	--	--	8	9	11	--	--	12	2	13	--	--	--	3	Paul +1
NBC/MaristNBC/Marist	1/12	1/14	--	--	7	5	8	--	--	16	--	9	--	--	5	3	Christie +7
FOX NewsFOX News	12/14	12/16	--	--	8	12	12	--	--	16	--	11	--	--	3	--	Christie +4
PPP (D)PPP (D)	12/12	12/15	--	--	7	14	10	--	13	19	--	11	--	--	--	3	Christie +5
QuinnipiacQuinnipiac	12/3	12/9	--	--	7	13	11	--	--	17	2	14	--	--	--	3	Christie +3
McClatchy/MaristMcClatchy	12/3	12/5	--	--	7	10	10	--	--	18	--	12	--	--	4	--	Christie +6
CNN/ORCCNN/ORC	11/18	11/20	--	--	10	11	5	--	--	24	--	15	--	--	6	--	Christie +9
RasmussenRasmussen	11/7	11/8	--	--	16	12	12	--	--	22	--	20	--	--	--	--	Christie +2
PPP (D)PPP (D)	10/29	10/31	--	--	10	15	14	--	--	16	--	16	--	--	5	6	Tie
QuinnipiacQuinnipiac	9/23	9/29	--	--	12	10	11	--	--	13	--	17	--	--	--	3	Paul +4
PPP (D)PPP (D)	9/25	9/26	--	--	10	20	11	--	--	14	--	17	--	--	3	4	Cruz +3
CNN/ORCCNN/ORC	9/6	9/8	--	--	9	7	10	--	--	17	--	13	--	--	5	--	Christie +4
RasmussenRasmussen	8/1	8/2	--	--	18	--	16	--	--	21	--	15	--	--	--	--	Christie +3
PPP (D)PPP (D)	7/19	7/21	--	--	10	12	13	--	--	13	--	16	--	--	4	4	Paul +3
McClatchy/MaristMcClatchy	7/15	7/18	--	--	12	7	10	--	--	15	--	9	--	--	2	1	Christie +3
PPP (D)PPP (D)	5/6	5/9	--	--	16	7	15	--	--	15	--	14	--	--	5	3	Rubio +1
QuinnipiacQuinnipiac	3/26	4/1	--	--	19	--	10	--	--	14	--	15	--	--	--	3	Rubio +4
PPP (D)PPP (D)	3/27	3/30	--	--	21	--	12	--	--	15	--	17	--	--	5	4	Rubio +4
PPP (D)PPP (D)	1/31	2/3	--	--	22	--	13	--	11	13	--	10	--	--	--	4	Rubio +9
PPP (D)PPP (D)	1/3	1/6	--	--	21	--	14	--	15	14	--	5	--	--	--	3	Rubio +6
PPP (D)PPP (D)	11/30	12/2	--	--	18	--	12	--	11	14	--	7	--	--	4	--	Rubio +4
