Pollster	Start	End	Pop.	Clinton	Sanders	Biden	Chafee	Lessig	O.Malley	Webb	Undecided
MorningConsult	3/4	3/6	960RV	52	36	-	-	-	-	-	7
ABC/Post	3/3	3/6	356RV	49	42	-	-	-	-	-	7
NBC/WSJ	3/3	3/6	410LV	53	44	-	-	-	-	-	-
NBC/SurveyMonkey	2/29	3/6	6,245RV	55	38	-	-	-	-	-	7
Ipsos/Reuters	2/27	3/2	619RV	54	40	-	-	-	-	-	5
Rasmussen	2/25	2/28	541LV	53	31	-	-	-	-	-	6
NBC/SurveyMonkey	2/22	2/28	8,702RV	51	41	-	-	-	-	-	8
MorningConsult	2/26	2/27	891RV	51	35	-	-	-	-	-	9
CNN	2/24	2/27	418RV	55	38	-	-	-	-	-	4
YouGov/Economist	2/24	2/27	535LV	55	37	-	-	-	-	-	6
MorningConsult	2/24	2/25	1,723RV	50	35	-	-	-	-	-	10
Ipsos/Reuters	2/20	2/24	546RV	49	44	-	-	-	-	-	7
IBD/TIPP	2/19	2/24	334RV	45	43	-	-	-	-	-	6
NBC/SurveyMonkey	2/15	2/21	3,338RV	51	40	-	-	-	-	-	9
FOX	2/15	2/17	429LV	44	47	-	-	-	-	-	7
Ipsos/Reuters	2/13	2/17	543RV	53	42	-	-	-	-	-	5
McLaughlin(R)	2/11	2/17	454LV	43	43	-	-	-	-	-	15
MorningConsult	2/15	2/16	829RV	47	39	-	-	-	-	-	9
NBC/WSJ	2/14	2/16	400LV	53	42	-	-	-	-	-	5
CBS	2/12	2/16	264LV	47	39	-	-	-	-	-	10
RobertMorrisUniversity	2/11	2/16	287LV	57	36	-	-	-	-	-	-
Suffolk/USAToday	2/11	2/15	319LV	50	40	-	-	-	-	-	10
YouGov/Economist	2/11	2/15	527LV	53	39	-	-	-	-	-	6
Quinnipiac	2/10	2/15	563RV	44	42	-	-	-	-	-	13
NBC/SurveyMonkey	2/8	2/14	3,847RV	50	40	-	-	-	-	-	9
MorningConsult	2/10	2/11	811RV	46	39	-	-	-	-	-	7
Ipsos/Reuters	2/6	2/10	600RV	55	43	-	-	-	-	-	3
MorningConsult	2/3	2/7	1,988RV	50	37	-	-	-	-	-	8
NBC/SurveyMonkey	2/1	2/7	3,154RV	51	39	-	-	-	1	-	8
Rasmussen	2/3	2/4	574LV	50	32	-	-	-	-	-	6
Quinnipiac	2/2	2/4	484RV	44	42	-	-	-	-	-	13
MorningConsult	2/2	2/3	719RV	51	35	-	-	-	-	-	8
PPP(D)	2/2	2/3	517LV	53	32	-	-	-	-	-	14
Ipsos/Reuters	1/30	2/3	619RV	54	39	-	-	-	2	-	5
MorningConsult	1/29	2/1	1,928RV	50	34	-	-	-	3	-	9
NBC/SurveyMonkey	1/25	1/31	3,233RV	50	39	-	-	-	2	-	8
YouGov/Economist	1/27	1/30	531LV	52	40	-	-	-	2	-	-
IBD/TIPP	1/22	1/27	349RV	50	38	-	-	-	2	-	5
ABC/Post	1/21	1/24	406RV	55	36	-	-	-	4	-	3
MorningConsult	1/21	1/24	1,797RV	48	31	-	-	-	2	-	12
CNN	1/21	1/24	440RV	52	38	-	-	-	2	-	2
PublicReligionResearchInstitute	1/20	1/24	463A	51	33	-	-	-	3	-	11
NBC/SurveyMonkey	1/18	1/24	2,780RV	51	37	-	-	-	2	-	1
FOX	1/18	1/21	375LV	49	37	-	-	-	1	-	10
Zogby(Internet)	1/19	1/20	373LV	49	27	-	-	-	10	-	14
Ipsos/Reuters	1/16	1/20	629A	54	35	-	-	-	4	-	7
YouGov/Economist	1/15	1/19	533LV	50	41	-	-	-	2	-	5
MonmouthUniversity	1/15	1/18	352RV	52	37	-	-	-	2	-	8
MorningConsult	1/14	1/17	1,805RV	54	30	-	-	-	2	-	10
NBC/SurveyMonkey	1/11	1/17	3,259RV	52	36	-	-	-	1	-	9
Ipsos/Reuters	1/9	1/13	696A	54	35	-	-	-	4	-	8
NBC/WSJ	1/9	1/13	400LV	59	34	-	-	-	2	-	-
YouGov/Economist	1/9	1/11	620LV	58	33	-	-	-	3	-	5
GravisMarketing/OneAmericaNews	1/10	1/10	890LV	65	26	-	-	-	9	-	-
MorningConsult	1/8	1/10	909RV	49	32	-	-	-	3	-	10
CBS/Times	1/7	1/10	389LV	48	41	-	-	-	2	-	6
NBC/SurveyMonkey	1/4	1/10	2,619RV	52	37	-	-	-	2	-	1
IBD/TIPP	1/4	1/8	397RV	43	39	-	-	-	2	-	9
FOX	1/4	1/7	360LV	54	39	-	-	-	3	-	2
Ipsos/Reuters	1/2	1/6	709A	58	30	-	-	-	3	-	9
YouGov/Economist	12/31/15	1/6/16	533LV	54	37	-	-	-	3	-	4
NBC/SurveyMonkey	12/28/15	1/3/16	1,060RV	53	36	-	-	-	2	-	8
Ipsos/Reuters	12/26	12/30/15	825A	57	32	-	-	-	3	-	8
Ipsos/Reuters	12/19	12/23/15	603A	58	31	-	-	-	4	-	7
Rasmussen	12/20	12/21/15	546LV	46	30	-	-	-	7	-	7
YouGov/Economist	12/18	12/21/15	565LV	53	39	-	-	-	2	-	4
CNN	12/17	12/21/15	414RV	50	34	-	-	-	3	-	5
EmersonCollegePollingSociety	12/17	12/20/15	332LV	65	26	-	-	-	2	-	4
Quinnipiac	12/16	12/20/15	462RV	61	30	-	-	-	2	-	7
FOX	12/16	12/17/15	390LV	56	34	-	-	-	2	-	4
PPP(D)	12/16	12/17/15	525LV	56	28	-	-	-	9	-	7
Ipsos/Reuters	12/12	12/16/15	765A	58	29	-	-	-	3	-	10
MorningConsult	12/11	12/15/15	1,790RV	52	27	-	-	-	2	-	12
ABC/Post	12/10	12/13/15	377RV	59	28	-	-	-	5	-	8
MonmouthUniversity	12/10	12/13/15	374RV	59	26	-	-	-	4	-	11
NBC/WSJ	12/6	12/9/15	400LV	56	37	-	-	-	4	-	3
Ipsos/Reuters	12/5	12/9/15	573A	56	30	-	-	-	5	-	9
YouGov/Economist	12/4	12/9/15	647LV	56	35	-	-	-	2	-	5
GravisMarketing/OneAmericaNews	12/7	12/8/15	731LV	62	30	-	-	-	9	-	-
CBS/Times	12/4	12/8/15	384LV	52	32	-	-	-	2	-	9
MorningConsult	12/3	12/7/15	808RV	52	23	-	-	-	2	-	14
PublicReligionResearchInstitute	12/2	12/6/15	463RV	52	31	-	-	-	4	-	13
Suffolk/USAToday	12/2	12/6/15	363LV	56	29	-	-	-	4	-	11
IBD/TIPP	11/30	12/4/15	392RV	51	33	-	-	-	1	-	8
Ipsos/Reuters	11/28	12/2/15	430A	51	36	-	-	-	4	-	10
CNN	11/27	12/1/15	403RV	58	30	-	-	-	2	-	3
Quinnipiac	11/23	11/30/15	573RV	60	30	-	-	-	2	-	7
Ipsos/Reuters	11/21	11/25/15	362A	58	30	-	-	-	6	-	8
GravisMarketing/OneAmericaNews	11/23	11/23/15	528LV	59	32	-	-	-	8	-	-
YouGov/Economist	11/19	11/23/15	764LV	54	34	-	-	-	4	-	5
ABC/Post	11/16	11/19/15	352RV	60	34	-	-	-	3	-	2
FOX	11/16	11/19/15	366LV	55	32	-	-	-	3	-	5
Ipsos/Reuters	11/14	11/18/15	1,275A	52	31	-	-	-	4	-	13
PPP(D)	11/16	11/17/15	538LV	59	26	-	-	-	7	-	8
Bloomberg/Selzer	11/15	11/17/15	385RV	55	30	-	-	-	3	-	8
NBC/SurveyMonkey	11/15	11/17/15	1,983RV	49	33	-	-	-	1	-	11
MorningConsult	11/13	11/16/15	874RV	57	26	-	-	-	2	-	9
Ipsos/Reuters	11/7	11/11/15	609A	51	35	-	-	-	3	-	10
PublicReligionResearchInstitute	11/6	11/10/15	145LV	62	29	-	-	-	2	-	5
CBS/Times	11/6	11/10/15	418LV	52	33	-	-	-	5	-	-
